,key_value,label,ontology_mapping
400,"{'age': '44', 'bmi': '22', 'cycle day': 'LH+7', 'first trimester losses': '0', 'live births': '0', 'source_name': 'Human Endometrial Pipelle Biopsy', 'tissue': 'Endometrial pipelle biopsy'}",tissue,['UBERON:0035946']
401,"{'cell line': 'EPC2-hTERT', 'growth conditions': 'submerged (day 8)', 'source_name': 'hTERT-immortalized human esophageal epithelial cell line_submerged', 'treatment': 'untreated'}",cell_line,"['UBERON:0001976', 'CL:0000066', 'CL:0000010', 'EFO:0000322']"
402,"{'average insert size': '249', 'cell line': 'K562', 'cell type': 'immortalised chronic myelogenous leukemia (CML)', 'sample type': 'K-562 truseq 250ng', 'source_name': 'K-562 cell line'}",cell_line,"['EFO:0000339', 'UBERON:0003100', 'UBERON:0002371', 'EFO:0000616', 'EFO:0000565', 'EFO:0000311', 'EFO:0001642', 'DOID:4', 'CVCL:E508', 'CVCL:0004', 'DOID:8552', 'EFO:0000540', 'EFO:0002067', 'DOID:14566', 'EFO:0000322', 'CL:0000010', 'EFO:0000408']"
403,"{'human cell line': 'HeLa-S3 (ATCC CCL-2.2)', 'organism': 'mixed sample (human cell line HeLa-S3 + Salmonella typhimurium SL1344)', 'source_name': 'cell culture infection model', 'strain': 'Salmonella typhimurium SL1344'}",cell_line,"['EFO:0002791', 'CVCL:0058', 'CL:0000010', 'EFO:0000322']"
404,"{'cell type': 'monolayer cardiomyocytes', 'days in culture': 'day 30 of differentiation', 'genotype/variation': 'ALDH2*2', 'source_name': 'hiPSC-CM, mutant ischemia', 'treatment': 'ischemia'}",in_vitro_differentiated_cells,"['EFO:0004264', 'EFO:0000319', 'CL:0000746', 'EFO:0000727', 'CL:0002494', 'CL:0002248', 'CL:0000034', 'EFO:0000408', 'CL:0000723', 'CL:0002371', 'CL:0000187', 'EFO:0004905', 'DOID:326']"
405,"{'cell line': 'HeLa', 'source_name': 'Human cervical cancer', 'time': '0 min', 'treatment': '3 h DRB 0 min 4sU'}",cell_line,"['EFO:0001185', 'UBERON:0003100', 'EFO:0000228', 'CVCL:0030', 'DOID:299', 'EFO:0000727', 'EFO:0000311', 'DOID:4', 'DOID:4362', 'EFO:0000408', 'EFO:0003150', 'DOID:162', 'UBERON:0000002', 'DOID:14566', 'EFO:0000616', 'CL:0000010', 'EFO:0000322']"
406,"{'patient id': '1', 'source_name': 'Tumor cells', 'tissue source': 'laser micro-dissected archival FFPE tissue specimens', 'tissue type': 'non-invasive adenocarcinoma in situ (ais)'}",primary_cells,"['EFO:0000616', 'DOID:14566', 'EFO:0000408', 'DOID:4943']"
407,"{'cell line': 'MDA-MB-231', 'cell type': 'breast adenocarcinoma', 'organism': 'Homo sapiens', 'specimen with known storage state': 'fresh specimen'}",cell_line,"['CVCL:0062', 'UBERON:0000175', 'UBERON:0003100', 'EFO:0006858', 'EFO:0000228', 'EFO:0000304', 'EFO:0000305', 'EFO:0000322', 'DOID:299', 'EFO:0000311', 'EFO:0003156', 'EFO:0000313', 'EFO:0001209', 'DOID:4', 'DOID:3458', 'UBERON:0007023', 'EFO:0000408', 'DOID:14566', 'EFO:0000616', 'CL:0000010', 'EFO:0001272']"
408,"{'diagnosis': 'Neonatal-Onset Multisystem Inflammatory Disease (NOMID)', 'disease/health status': 'active', 'source_name': 'NOMID patients with active disease prior to anakinra treatment', 'tissue': 'Peripheral blood', 'treatment status': 'Prior to anakinra treatment'}",tissue,"['DOID:4', 'EFO:0000727', 'EFO:0000408', 'EFO:0001372', 'UBERON:0000178']"
409,"{'cell line': 'P493-6', 'cell type': 'B cells', 'control': 'FALSE', 'doxycycline treatment': 'TRUE', 'kj-pyr-9 treatment': 'TRUE', 'source_name': 'B cell line'}",cell_line,"['CL:0000738', 'CVCL:6783', 'EFO:0000322', 'EFO:0000727', 'CL:0000236', 'CL:0000542', 'CL:0000988', 'CL:0000945', 'CL:0000010']"
410,"{'cell line': '293T', 'source_name': '293T, control'}",cell_line,"['CVCL:0063', 'EFO:0001184', 'UBERON:0007220', 'UBERON:0002120', 'EFO:0001082', 'EFO:0000322', 'CL:0000010', 'UBERON:0000323']"
411,"{'barcode': 'ATGCAGCAG', 'cell line': 'HeLa-S3', 'genotype/variation': 'Egfp knock out (control)', 'source_name': 'HeLa-S3'}",cell_line,"['EFO:0002791', 'CVCL:0058', 'CL:0000010', 'EFO:0000322']"
412,"{'BioSampleModel': 'Human', 'age': 'Not identified', 'biomaterial_provider': 'ATCC', 'cell_line': 'CaCo2', 'isolate': 'Colon carcinoma cells', 'sex': 'female', 'tissue': 'colon carcinoma'}",cell_line,"['EFO:0006858', 'EFO:0005842', 'EFO:0001099', 'DOID:0050861', 'EFO:0000365', 'UBERON:0003101', 'UBERON:0003100', 'EFO:0000322', 'EFO:0007330', 'CL:0000010', 'EFO:0004288', 'EFO:0000616', 'DOID:4', 'EFO:0000408', 'UBERON:0001155', 'EFO:0000311', 'EFO:0000313', 'EFO:0003156', 'CVCL:0025', 'DOID:305', 'DOID:1520', 'DOID:14566']"
413,"{'agent': 'Media', 'cell type': 'Primary CD14+/CD16+ monocytes', 'donor': 'A2737', 'source_name': 'Primary human CD14+/CD16+ monocytes', 'timepoint': '6hr', 'treatment': 'unstimulated'}",primary_cells,"['CL:0000738', 'CL:0000766', 'CL:0000842', 'CL:0002397', 'EFO:0000727', 'CL:0000576', 'CL:0000988', 'CL:0000010']"
414,"{'cell type': 'SGBS adipocyte D10', 'source_name': 'Adipocyte'}",in_vitro_differentiated_cells,"['CVCL:H945', 'CVCL:GS28', 'CL:0000010', 'CL:0000136']"
415,"{'cell line': 'MCF10a', 'condition': 'EGF Stimulation + DMSO', 'genotype': 'WT', 'source_name': 'MCF10a Breast Epithelium Cell line', 'timepoint': '300 min'}",cell_line,"['DOID:4', 'UBERON:0003100', 'EFO:0000322', 'CL:0000066', 'EFO:0003156', 'EFO:0001200', 'EFO:0000408', 'UBERON:0001911', 'CVCL:0598', 'UBERON:0000310', 'CL:0002327', 'CL:0000010']"
416,"{'source_name': 'PCFCL case 1', 'tissue': 'skin tumor (lymphoma)', 'tumor type': 'primary cutaneous follicle center lymphoma'}",tissue,"['EFO:1000095', 'DOID:0050608', 'EFO:0000408', 'DOID:14566', 'EFO:0000616', 'EFO:0000311', 'EFO:0001642', 'EFO:0000540', 'UBERON:0003199', 'UBERON:0036150', 'EFO:0000574', 'DOID:0060058', 'EFO:0000962', 'EFO:0003820', 'EFO:0000174']"
417,"{'cell line': 'MCF7', 'source_name': 'MCF7', 'treatment': '1hr treatment with 100nM E2'}",cell_line,"['EFO:0003156', 'UBERON:0000175', 'UBERON:0003100', 'EFO:0000228', 'CVCL:0031', 'EFO:0000322', 'EFO:0001203', 'EFO:0000727', 'UBERON:0000310', 'DOID:4', 'UBERON:0007023', 'EFO:0000408', 'UBERON:0001911', 'DOID:299', 'CL:0000010', 'EFO:0001272']"
418,"{'analyte type': 'DNA,RNA', 'biospecimen repository': 'Genentech_NSCLC', 'biospecimen repository sample id': 'GS000000528', 'body site': 'Pleural effusion', 'gap_accession': 'phs000299', 'gap_consent_code': '1', 'gap_consent_short_name': 'HMB-MDS', 'gap_sample_id': '851845', 'gap_subject_id': '671381', 'histological type': 'Carcinoma Large Cell', 'is tumor': 'Yes', 'molecular data type': 'Whole Genome (NGS)', 'sex': 'male', 'study design': 'Tumor vs. Matched-Normal', 'study disease': 'Lung Neoplasms', 'study name': 'Genentech Lung Cancer Sequencing', 'subject is affected': 'Yes', 'submitted sample id': 'GS000000528', 'submitted subject id': '16', 'submitter handle': 'Genentech_NSCLC'}",tissue,"['UBERON:0000175', 'EFO:0003050', 'EFO:0000616', 'UBERON:0003101', 'EFO:0000408', 'DOID:14566']"
419,"{'BioSampleModel': 'Human', 'Treatment replicate': '1', 'age': '58', 'biomaterial_provider': 'ATCC', 'cell_line': 'A549', 'cell_type': 'Lung epithelial', 'isolate': 'ATCC', 'sex': 'male', 'timepoint': '12 hours after infection', 'tissue': 'lung carcinoma', 'treatment': 'infected with human adenovirus type 6'}",cell_line,"['EFO:0006858', 'EFO:0000727', 'EFO:0001071', 'UBERON:0003101', 'EFO:0000684', 'UBERON:0000170', 'EFO:0000322', 'UBERON:0002048', 'DOID:3905', 'CVCL:0023', 'CL:0000010', 'EFO:0000616', 'DOID:4', 'EFO:0000408', 'EFO:0001086', 'EFO:0000311', 'EFO:0000313', 'EFO:0003818', 'EFO:0003156', 'DOID:305', 'DOID:14566', 'CL:0000066']"
420,"{'cell_type': 'HCET', 'shRNA': 'doxycycline-inducible shRNA against PNN', 'source_name': 'Doxycycline-treated sample 4, technical replicate', 'treatment': 'Doxycycline treated'}",cell_line,"['EFO:0000727', 'CL:0000010', 'CVCL:1272']"
421,"{'cell line': 'HEK293T', 'source_name': 'inhouse_low_1pg_rep4'}",cell_line,"['CVCL:0063', 'EFO:0001184', 'UBERON:0007220', 'UBERON:0002120', 'EFO:0001082', 'EFO:0000322', 'CL:0000010', 'UBERON:0000323']"
422,"{'Sex': 'M', 'source_name': 'VC', 'strain/background': 'C57BL/6', 'tissue': 'primary visual cortex'}",tissue,"['EFO:0003534', 'UBERON:0000411', 'UBERON:0003101', 'UBERON:0002436']"
423,"{'average age': '41.7', 'cell type': 'large airway epithelial cells', 'lung cancer': '3 No', 'packyears': '21.5', 'sex': '1 Male, 2 Female', 'smoking status': '3 Current', 'source_name': 'Large airway epithelial cells'}",primary_cells,"['UBERON:0003101', 'UBERON:0003100', 'EFO:0003768', 'EFO:0000616', 'DOID:162', 'EFO:0000311', 'EFO:0003818', 'EFO:0000684', 'EFO:0000408', 'DOID:1324', 'EFO:0004318', 'DOID:14566', 'CL:0000066', 'CL:0002368']"
424,"{'cell type': 'Peripheral blood mononuclear cells', 'source_name': 'PBMCs from CF patient 3', 'treatment': 'Flagelline at 0.25 ug/ml for 4 hours'}",primary_cells,"['CL:0000738', 'CL:0000842', 'EFO:0000727', 'CL:2000001', 'UBERON:0000178', 'CL:0000081', 'CL:0000988']"
425,"{'cell line': 'IRM90', 'cell type': 'senescent cells expressing ZFP36L1mut', 'days after 4oht induction': '7', 'passage': 'p15', 'source_name': 'IRM90 ER'}",cell_line,"['EFO:0000322', 'CL:0000010']"
426,"{'biomaterial_provider': 'Coriell', 'datatype': 'RnaSeq', 'datatype description': 'Sequencing analysis of RNA expression', 'insertlength': '200', 'insertlength description': 'insert length of 200nt', 'labexpid': '11038', 'labversion': '02971', 'mapalgorithm': 'TH1014', 'mapalgorithm description': 'TopHat v1.0.14', 'readtype': '2x75', 'readtype description': 'Paired 75 nt reads', 'replicate': '1', 'source_name': 'GM12891', 'treatment': 'None', 'treatment description': 'No special treatment or protocol applies'}",cell_line,['EFO:0000727']
427,"{'source_name': 'Skin', 'tissue': 'skin', 'treatment': 'Control'}",tissue,"['UBERON:0000014', 'EFO:0000962']"
428,"{'cell line': 'BCBL-1', 'source_name': 'B-cell line'}",cell_line,"['CL:0000738', 'EFO:0000322', 'CVCL:0165', 'CL:0000236', 'EFO:0002048', 'CL:0000542', 'CL:0000988', 'CL:0000945', 'CL:0000010']"
429,"{'cell line': 'MCF7', 'source_name': 'MCF-7 cells', 'time': '48h', 'treatment': '1 percent Oxygen'}",cell_line,"['EFO:0003156', 'UBERON:0000175', 'UBERON:0003100', 'EFO:0000228', 'CVCL:0031', 'DOID:299', 'EFO:0001203', 'EFO:0000727', 'UBERON:0000310', 'DOID:4', 'UBERON:0007023', 'EFO:0000408', 'UBERON:0001911', 'EFO:0000322', 'CL:0000010', 'EFO:0001272']"
430,"{'cell line': 'WIBR3 with fused GFP+LGR5', 'organoid stage': 'organoid', 'source_name': 'differentiated human embryonic stem cells'}",in_vitro_differentiated_cells,"['CL:0002322', 'CVCL:9767', 'EFO:0000322', 'CL:0000034', 'CL:0000010']"
431,"{'cell line': 'HCT116', 'cell type': 'colon cancer', 'length of treatment': '24 hours', 'passages': '33', 'source_name': 'HNF4a8 Line', 'treatment': '0.1 Âµg/mL Doxycycline'}",cell_line,"['UBERON:0003101', 'EFO:0000408', 'UBERON:0001155', 'EFO:0000322', 'EFO:0000311', 'EFO:0000616', 'EFO:0000727', 'EFO:0005842', 'DOID:219', 'EFO:0000313', 'DOID:4', 'EFO:0007330', 'UBERON:0007023', 'DOID:305', 'EFO:0002824', 'DOID:162', 'EFO:0004288', 'DOID:14566', 'CVCL:0291', 'CL:0000010', 'EFO:0001272']"
432,"{'cell line': 'BJ cells', 'condition': 'Quiescence induced by serum depletion', 'source_name': 'Immortalized primary fibroblasts'}",cell_line,"['EFO:0000322', 'UBERON:0001977', 'CL:0000057', 'CL:0000010']"
433,"{'cell type': 'Pre-activated CD8+ T cells', 'source_name': 'Pre-activated CD8+ T cells', 'tissue': 'Peripheral blood'}",primary_cells,"['CL:0000738', 'UBERON:0000178', 'CL:0000084', 'CL:0001049', 'CL:0000625', 'CL:0000542', 'CL:0000988']"
434,"{'cell line': 'WI-38', 'crosslinking': 'not applied', 'ip protein': 'not applied', 'passages': 'PDL55', 'rna type': 'WI-38 Total RNA', 'source_name': 'WI-38'}",cell_line,"['CVCL:0579', 'UBERON:0003100', 'CL:0000057', 'EFO:0000322', 'EFO:0003156', 'EFO:0001260', 'UBERON:0002048', 'CL:0000010']"
435,"{'cell line': 'H1264', 'source_name': 'Total RNA from H1264 xenograft'}",tissue,"['EFO:0000322', 'EFO:0003942', 'CVCL:3970', 'CL:0000010']"
436,"{'ajcc stage': 'Stage IV', 'source_name': 'primary colorectal cancer', 'tissue': 'primary colorectal cancer'}",tissue,"['EFO:0000311', 'EFO:0000616', 'DOID:9256', 'EFO:0005842', 'EFO:0007330', 'EFO:0000408', 'DOID:162', 'DOID:14566']"
437,"{'ad type': 'ADEH+', 'cell type': 'PBMCs', 'source_name': 'peripheral blood mononuclear cells', 'treatment': 'HSV-1'}",primary_cells,"['CL:0000738', 'CL:0000842', 'EFO:0000727', 'CL:2000001', 'UBERON:0000178', 'CL:0000081', 'CL:0000988']"
438,"{'cell line': 'vorinostat-resistant HCT116', 'source_name': 'colorectal carcinoma cell line', 'treatment': 'siCDK10'}",cell_line,"['UBERON:0003101', 'EFO:0006858', 'EFO:0000408', 'UBERON:0001155', 'EFO:0000322', 'EFO:0000616', 'EFO:0000727', 'EFO:0000311', 'EFO:0000313', 'DOID:4', 'UBERON:0007023', 'DOID:305', 'EFO:0002824', 'DOID:14566', 'CVCL:0291', 'CL:0000010', 'EFO:0001272']"
439,"{'cell line': 'HeLa', 'source_name': 'HeLa', 'treatment': '20nM RRP6 siRNA - Dharmacon'}",cell_line,"['EFO:0001185', 'UBERON:0003100', 'EFO:0000228', 'CVCL:0030', 'DOID:299', 'EFO:0000727', 'DOID:4', 'EFO:0000408', 'EFO:0003150', 'UBERON:0000002', 'EFO:0000322', 'CL:0000010']"
440,"{'collectiondate': '2013-02-26', 'rin': '4.29', 'source_name': 'PBMC', 'tissue': 'Peripheral blood mononuclear cells (PBMCs)'}",primary_cells,"['CL:0000738', 'CL:0000842', 'CL:2000001', 'UBERON:0000178', 'CL:0000081', 'CL:0000988']"
441,"{'cell line': 'HEK293T', 'library selection': 'PolyA+', 'organism': 'Homo sapiens', 'sex': 'female'}",cell_line,"['CVCL:0063', 'UBERON:0003100', 'UBERON:0007220', 'EFO:0001184', 'UBERON:0002120', 'EFO:0001082', 'EFO:0000322', 'CL:0000010', 'UBERON:0000323']"
442,"{'cell line': 'TKO', 'cell type': 'Multiple myeloma', 'passage': '15-20', 'phenotype': 'Low levels of MMSET', 'source_name': 'Multiple myeloma'}",cell_line,"['CVCL:HE02', 'EFO:0000311', 'EFO:0000616', 'DOID:9538', 'EFO:0001642', 'EFO:0005803', 'EFO:0002427', 'EFO:0000408', 'EFO:0000540', 'DOID:14566', 'EFO:0001378', 'EFO:0000322', 'CL:0000010']"
443,"{'cell type': 'Prostate cancer', 'genotype': 'DAXX knock-down', 'source_name': 'Prostate', 'tissue': 'Prostate'}",cell_line,"['EFO:0000616', 'DOID:162', 'EFO:0000311', 'DOID:10283', 'EFO:0007355', 'EFO:0000408', 'UBERON:0002367', 'DOID:14566', 'EFO:0000512']"
444,"{'cell type': 'primary CD34+ cell', 'genotype/variation': 'control', 'source_name': 'cord blood'}",in_vitro_differentiated_cells,"['UBERON:0012168', 'UBERON:0000178']"
445,"{'BioSampleModel': 'Model organism or animal', 'age': 'not applicable', 'biomaterial_provider': 'Korea Cell Line Bank', 'breed': 'not applicable', 'cell_line': 'HepG2', 'sex': 'not applicable', 'strain': 'not applicable', 'tissue': 'not applicable', 'treatment': 'HepG2A2E'}",cell_line,"['EFO:0001187', 'CVCL:0027', 'UBERON:0003101', 'DOID:684', 'EFO:0000182', 'EFO:0000727', 'DOID:4', 'EFO:0003156', 'EFO:0000408', 'EFO:0000322', 'CL:0000010', 'UBERON:0002107']"
446,"{'sequencing protocol': 'paired-end, 36-mer sequencing', 'source_name': 'Prostate adenocarcinoma', 'tissue': 'Prostate cancer tissue', 'tumor stage': 'Gleason score 7'}",tissue,"['EFO:0006858', 'EFO:0001663', 'EFO:0000408', 'DOID:2526', 'EFO:0000673', 'EFO:0000616', 'EFO:0000311', 'EFO:0000313', 'DOID:10283', 'EFO:0007355', 'EFO:0000512', 'DOID:162', 'DOID:14566', 'DOID:299', 'EFO:0000228']"
447,{'cell_line': 'SUM-44PE'},cell_line,"['CVCL:3424', 'EFO:0001245', 'CL:0000010', 'EFO:0000322']"
448,"{'ArrayExpress-CellType': 'NOMO-1', 'ArrayExpress-Compound': 'DMSO', 'ArrayExpress-Dose': '0 uM', 'ArrayExpress-GrowthCondition': 'RPMI 20%FBS', 'ArrayExpress-OrganismPart': 'cell line', 'ArrayExpress-Phenotype': 'control', 'ArrayExpress-Species': 'Homo sapiens', 'ArrayExpress-TimePoint': '24h', 'Sample Description': 'Leukaemic cell line treated for 24h with vehicle (DMSO) or 3-butyrolactone', 'Strain': ''}",cell_line,"['EFO:0000322', 'CVCL:1609', 'CL:0000010']"
449,"{'Organism': 'Homo sapiens', 'biosource provider': 'UMR 985 INSERM, Institut Gustave Roussy, 94805 Villejuif, France', 'cell type': 'tumor', 'disease state': 'Megakaryoblastic leukemia', 'individual': 'AMKL6'}",tissue,"['DOID:1240', 'EFO:0000616', 'EFO:0000311', 'EFO:0001642', 'EFO:0000408', 'EFO:0000565', 'EFO:0000540', 'DOID:14566']"
450,"{'cell type': 'iPS cell-derived neuronal samples', 'diferentiation day': '~ day 33', 'disease': 'Healthy', 'genotype': 'GBA +/N370S', 'source_name': 'iPS cell-derived neuronal samples'}",in_vitro_differentiated_cells,"['EFO:0004905', 'CL:0000723', 'CL:0002371', 'CL:0000034', 'CL:0002248']"
451,"{'sample type': 'U937', 'source_name': 'Leukemic cell line', 'treatment': '5uM 11,12-EET for 2 hrs'}",cell_line,"['EFO:0000322', 'EFO:0000727', 'CL:0000010']"
452,"{'cell type': 'sperm', 'sequencing date': '2013-12-02', 'source site': 'Harvard', 'source_name': 'sperm'}",primary_cells,"['UBERON:0001968', 'CL:0000019']"
453,"{'cell type': 'H9 Human ESCs', 'chip antibody': 'none', 'passages': 'p21-50', 'source_name': 'H9 Human ESCs'}",stem_cells,"['CL:0002322', 'CVCL:9773', 'CL:0000034', 'EFO:0003045', 'CL:0000010']"
454,"{'source_name': 'CUTLL1 cells', 'treatment': 'Agarose alone, 24hrs'}",cell_line,['EFO:0000727']
455,"{'cell line': 'AML3', 'source_name': 'AML3', 'treatment': 'untreated'}",cell_line,"['EFO:0000322', 'CL:0000010']"
456,"{'cell type': 'Hela', 'clip antibody': 'none', 'source_name': 'Hela cells', 'treatment': 'treated with control shRNA'}",cell_line,"['EFO:0001185', 'UBERON:0003100', 'EFO:0000228', 'CVCL:0030', 'DOID:299', 'EFO:0000727', 'DOID:4', 'EFO:0000408', 'EFO:0003150', 'UBERON:0000002', 'CL:0000010']"
457,"{'cell line': 'SK-Mel-28', 'source_name': 'Melanoma cell line', 'time point': 'post infection day 3', 'treatment': 'shRNA scramble (pLKO backbone, sigma)'}",cell_line,"['DOID:1909', 'CVCL:0526', 'UBERON:0003101', 'EFO:0000756', 'UBERON:0001130', 'EFO:0000962', 'EFO:0000616', 'EFO:0000727', 'EFO:0000311', 'DOID:4', 'UBERON:0007023', 'EFO:0003081', 'UBERON:0000014', 'EFO:0000408', 'DOID:14566', 'EFO:0000322', 'CL:0000010', 'EFO:0001272']"
458,"{'barcode': 'CTTGTAA', 'cell line': 'HEK 293', 'culture medium': 'DMEM', 'source_name': 'HEK293 cell culture', 'treatment': 'Co-RNAi against RC3H1 and RC3H2, addition of 50 ug/ml ActD 2h before harvesting'}",cell_line,"['EFO:0001182', 'CVCL:0045', 'EFO:0000322', 'EFO:0000727', 'UBERON:0002113', 'CL:0000010']"
459,"{'Cell Line Name': 'JHOC-5', 'Cell Line Type': 'Ovarian Cancer'}",cell_line,"['EFO:0000311', 'EFO:0000616', 'EFO:0003893', 'DOID:2394', 'CVCL:4640', 'EFO:0000408', 'DOID:162', 'DOID:14566', 'EFO:0000322', 'CL:0000010']"
460,"{'biomaterial_provider': 'Coriell', 'biorep': '017WC', 'datatype': 'RnaSeq', 'datatype description': 'Sequencing analysis of RNA expression', 'labexpid': 'LID20745', 'labversion': 'iIDR', 'localization': 'cell', 'localization description': 'Whole cell', 'protocol': 'TAP-Only', 'protocol description': ""This kind of library was made from RNA < 200 nucleotides that were pre-treated with Tobacco Acid Pyrophosphatase to remove any 5' caps that would preclude cloning. Hence, both capped and 5' monophosphate RNAs will be cloned."", 'readtype': '1x36', 'readtype description': 'Single 36 nt reads', 'replicate': '1', 'rnaextract': 'shortTotal', 'rnaextract description': 'Rna shorter than 200 nt that has not been seperated based on Poly Adenalyation', 'source_name': 'AG04450'}",cell_line,"['UBERON:0002048', 'CL:0002553', 'CL:0000057']"
461,"{'cell line': 'HCC1599', 'cell type': 'Triple negative breast cancer cell line containing an activating Notch1 mutation, grown in suspension', 'passage': '--', 'source_name': 'HCC1599', 'treatment': 'vehicle'}",cell_line,"['EFO:0003156', 'UBERON:0003100', 'CVCL:1256', 'EFO:0005537', 'EFO:0000616', 'DOID:162', 'EFO:0000727', 'EFO:0000311', 'DOID:1612', 'DOID:4', 'EFO:0002885', 'UBERON:0007023', 'EFO:0000408', 'UBERON:0001911', 'EFO:0000430', 'EFO:0002186', 'DOID:14566', 'EFO:0000322', 'CL:0000010', 'EFO:0001272']"
462,"{'cell line': 'IMR-32', 'cell type': 'neuroblast', 'organism': 'Homo sapiens'}",cell_line,"['EFO:0000621', 'UBERON:0000955', 'UBERON:0003101', 'CL:0000047', 'EFO:0001195', 'CL:0000337', 'DOID:769', 'CVCL:0346', 'EFO:0003156', 'DOID:4', 'CL:0000031', 'CL:0000034', 'EFO:0000408', 'EFO:0000322', 'CL:0000010']"
463,"{'cell type': 'fibroblasts', 'source_name': 'BJ cells', 'sources': 'ATCC CRL-2522', 'tissue': 'skin; foreskin'}",cell_line,"['UBERON:0000014', 'EFO:0000962', 'UBERON:0001332', 'CL:0000057']"
464,"{'ArrayExpress-CellType': 'N/A', 'ArrayExpress-Compound': 'N/A', 'ArrayExpress-DevelopmentalStage': 'N/A', 'ArrayExpress-DiseaseState': 'N/A', 'ArrayExpress-Dose': 'N/A', 'ArrayExpress-Genotype': 'N/A', 'ArrayExpress-GrowthCondition': 'N/A', 'ArrayExpress-Immunoprecipitate': 'N/A', 'ArrayExpress-OrganismPart': 'N/A', 'ArrayExpress-Phenotype': 'N/A', 'ArrayExpress-Sex': 'not applicable', 'ArrayExpress-Species': 'Homo sapiens', 'ArrayExpress-TimePoint': '12H', 'Sample Description': 'RNA from TPH1', 'Strain': ''}",cell_line,[]
465,"{'cell line': 'MDA-MB-468', 'cell type': 'triple negative breast cancer cell line', 'source_name': 'MDA-MB-468-ERbeta1_DMSO_plusdox'}",cell_line,"['UBERON:0000175', 'UBERON:0003100', 'EFO:0000228', 'EFO:0000322', 'EFO:0005537', 'DOID:299', 'EFO:0000311', 'DOID:1612', 'DOID:4', 'EFO:0001216', 'EFO:0002885', 'EFO:0000408', 'EFO:0003150', 'DOID:162', 'DOID:14566', 'EFO:0000616', 'CL:0000010', 'CVCL:0419']"
466,"{'cell type': 'HEK293 cell lines', 'ip antibody': 'None', 'passages': '15-20', 'source_name': 'sh_HCV variants'}",cell_line,"['CVCL:0045', 'EFO:0000322', 'UBERON:0002113', 'EFO:0001182', 'CL:0000010']"
467,"{'cell type': 'granulocyte', 'passages': 'primary', 'source_name': 'human primary granulocytes', 'tissue': 'blood'}",primary_cells,"['CL:0000738', 'CL:0000766', 'UBERON:0000178', 'CL:0000094', 'CL:0000988', 'CL:0000010']"
468,"{'ClinicalHistory': 'Relapse', 'ClinicalInformation': 'Platinum resistant', 'DiseaseState': 'ovarian carcinoma', 'Individual': 'Patient 3', 'Organism': 'Homo sapiens'}",cell_line,"['EFO:0000311', 'DOID:4001', 'EFO:0003893', 'EFO:0000408', 'EFO:0001075', 'DOID:14566', 'EFO:0000616']"
469,"{'cell marker': 'CD24', 'cell type': 'epithelial cell', 'disease state': 'cancer', 'source_name': 'biopsy and surgery', 'tissue': 'breast'}",primary_cells,"['EFO:0000616', 'EFO:0000311', 'UBERON:0000310', 'EFO:0000408', 'DOID:162', 'DOID:14566', 'CL:0000066']"
470,"{'cell type': 'colony-forming unit-erythroid cells (CFU-E)', 'source_name': 'CFU-E cells', 'tissue': 'Cord blood'}",primary_cells,"['CL:0000763', 'CL:0000764', 'CL:0002031', 'CL:0000839', 'UBERON:0012168', 'CL:0000038', 'CL:0001066', 'UBERON:0000178', 'CL:0000988']"
471,"{'cell line': 'THP-1', 'source_name': 'human monocyte cell line', 'treatment': 'puromycin 100Âµg/ml'}",cell_line,"['CL:0000738', 'DOID:8864', 'UBERON:0003101', 'EFO:0000727', 'CL:0000766', 'CL:0000842', 'EFO:0000322', 'EFO:0001355', 'EFO:0000221', 'UBERON:0000178', 'DOID:4', 'CVCL:0006', 'EFO:0000408', 'CL:0000576', 'EFO:0001253', 'CL:0000988', 'CL:0000010']"
472,"{'BioSampleModel': 'Human', 'age': '25', 'biomaterial_provider': 'UAB colposcopy clinic', 'ethnicity': 'EA', 'isolate': 'SS115n', 'sex': 'female', 'tissue': 'FFPE'}",tissue,['UBERON:0003100']
473,"{'cell line': 'M395AR', 'cell type': 'Melanoma', 'source_name': 'Melanoma'}",cell_line,"['DOID:1909', 'EFO:0000616', 'EFO:0000311', 'EFO:0000756', 'EFO:0000408', 'DOID:14566', 'EFO:0000322', 'CL:0000010']"
474,"{'developmental stage': 'Blastocyst', 'embryo number': 'Embryo 2', 'lineage': 'Epiblast', 'source_name': 'Human Embryo'}",primary_cells,"['UBERON:0000358', 'UBERON:0002532', 'EFO:0000795', 'UBERON:0000922']"
475,"{'Age': '27 year', 'BioSourceProvider': 'NSW Tissue Resource Centre, The University of Sydney, Australia', 'Disease_Factor': 'Schizophrenia', 'Ethnic_Group': 'Caucasian', 'Organism': 'Homo sapiens', 'OrganismPart': 'Brain', 'Phenotype': 'Schizophrenia', 'Sex': 'Male', 'Viability': 'post-mortem'}",tissue,"['DOID:4', 'UBERON:0003101', 'EFO:0000692', 'EFO:1001457', 'EFO:0000677', 'UBERON:0000955', 'EFO:0003156', 'UBERON:0007023', 'EFO:0000408', 'DOID:5419', 'EFO:0001272']"
